m,n,r,d,A_norm_0,AMP_norm_0,AMP_norm_1
14,14,10,1.0,196,196,15.049124835056825
350,350,171,0.14671020408163266,17972,63494,56698.239483176796
860,860,613,0.5512520281233099,407706,733594,519084.90585142456
1034,1034,799,0.6492289244974541,694127,1052157,421938.6143186657
3320,3320,2145,0.43650747568587606,4811360,10895582,1.3310541498795649e10
