m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||H||_0,||H||_1,time
32,14,10,0.522321428571429,196,196,15.0491248350568,100,23.2115325373465,0.0321795
555,350,171,0.0224298584298584,17972,63494,56698.2394831413,25049,68529.9938330615,19.986918
1690,860,613,0.0126537773496629,407706,733594,519084.905851578,317557,1641794.74916884,3348.6424923
1964,1034,799,0.0131570394765351,694127,1052157,421938.614318707,559545,3290177.08566768,1600.7218215
4654,3320,2145,0.00602480830067153,0,0,0,0,0,86400.3621615
