m,n,r,d,A_norm_0,AMP_norm_0,AMP_norm_1,H_norm_0,H_norm_1,time
14,14,10,1.0,196,196,15.049124835056825,156,12.47771124094318,3.3937639
350,350,171,0.14671020408163266,17972,17972,56698.239483176796,26311,38549.54636106245,2056.1144397
860,860,613,0.5512520281233099,407706,407706,519084.90585142456,-1,-1.0,86400.5645479
1034,1034,799,0.6492289244974541,694127,694127,421938.6143186657,-1,-1.0,-1.0
3320,3320,2147,0.43650747568587606,4811360,4811360,1.3310541498795649e10,-1,-1.0,-1.0
