m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||H||_0,||H||_1,time
32,14,10,28,127,227,24.400000050769187,156,27.77100545445839,57.833035469055176
555,350,171,1,0,0,0.0,0,0.0,0.0
1690,860,613,0,0,0,0.0,0,0.0,0.0
1964,1034,799,0,0,0,0.0,0,0.0,0.0
4654,3320,2147,0,0,0,0.0,0,0.0,0.0
