m,n,r,d,A_norm_0,AMP_norm_0,AMP_norm_1
32,14,10,0.5223214285714286,234,448,24.400000050769187
555,350,171,0.02242985842985843,4357,108376,2889.7759551156887
1690,860,613,0.01265377734966286,18391,1279313,21154.004279778455
1964,1034,799,0.013157039476535078,26719,1932327,1.0941425937501499e8
4654,3320,2147,0.00602480830067153,93091,13160066,1.4049744261474123e6
