m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||H||_0,||H||_1,time
32,14,10,0.522321428571429,234,448,24.4000000507692,320,27.7710054544584,0.015982
555,350,171,0.0224298584298584,4357,108376,2889.77595511569,65895,3084.38743372887,0.1052176
1690,860,613,0.0126537773496629,18391,1279313,21154.0042797785,750352,39306.3899117167,1.4108542
1964,1034,799,0.0131570394765351,26719,1932353,109414259.368692,1172262,47696.5392660151,2.0696438
4654,3320,2147,0.00602480830067153,93091,13160066,1404974.42614773,6079289,2066437.64981807,127.7254742
