m,n,r,d,A_norm_0,AMP_norm_0,AMP_norm_1,H_norm_0,H_norm_1,time
32,14,10,0.5223214285714286,234,234,24.400000050769187,377,23.00607892200176,3.1640523
555,350,171,0.02242985842985843,4357,4357,2889.7759551156887,69437,2373.94501314312,142.502319
1690,860,613,0.01265377734966286,18391,18391,21154.004279778455,713314,14301.341948099394,1475.940416
1964,1034,801,0.013157039476535078,26719,26719,1.0941425937501499e8,-1,-1.0,86401.2246927
4654,3320,2147,0.00602480830067153,93091,93091,1.4049744261474123e6,-1,-1.0,-1.0
