m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||H||_0,||H||_1,time
1000,100,75,10,19327.6,44762.6,258.33966290032913,35816.6,428.0595097872829,6.387959432601929
1000,100,75,25,29038.8,43746.4,199.1362782334001,36420.8,325.9571327229384,6.456329011917115
1000,200,150,10,38924.4,90018.4,555.6964427625098,73334.8,1137.250962825629,6.613827133178711
1000,200,150,25,58675.8,88710.8,419.66867414736026,73755.8,804.0198783972353,6.553390312194824
1000,300,225,10,58386.2,136267.6,891.558603853466,110710.0,2002.555507348061,7.254437398910523
1000,300,225,25,87915.4,135295.0,661.8156888816159,111278.6,1392.9074195968744,7.052138757705689
1000,400,300,10,77994.0,184037.6,1276.288766361517,148233.0,3010.6648635545125,8.016606712341309
1000,400,300,25,116249.2,183209.2,933.3109335383621,148738.8,2120.1604534718654,8.18159327507019
1000,500,375,10,97822.8,232567.4,1717.1993454282715,186228.2,4338.276385055016,12.027548694610596
1000,500,375,25,145555.2,232228.8,1239.781741220703,186354.2,2999.2831663308307,11.924086952209473
